player,pos,age,tm,g,gs,mp,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,efg%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,salary,salary_million,value_index,salary_per_point,pts_per_minute,efficiency_index,efficiency_per_million
rui hachimura,PF,24,TOT,63,9,23.3,4.5,9.3,0.486,0.8,2.5,0.319,3.7,6.7,0.55,0.53,1.4,1.9,0.739,0.8,3.7,4.5,0.9,0.3,0.4,0.8,1.1,11.2,6263188.0,6.263188,2.6504074282937053,8876.400214177438,0.4806866746486405,16.499999999999996,2.634441118484707
rui hachimura,PF,24,WAS,30,0,24.3,5.3,10.8,0.488,1.0,3.0,0.337,4.3,7.8,0.545,0.534,1.5,1.9,0.759,0.6,3.6,4.3,1.2,0.4,0.4,1.2,1.3,13.0,6263188.0,6.263188,2.953767314664672,16059.456369078318,0.5349794018526994,18.099999999999998,2.889902075428679
rui hachimura,PF,24,LAL,33,9,22.4,3.8,7.9,0.485,0.6,2.2,0.296,3.2,5.7,0.556,0.525,1.3,1.8,0.721,1.0,3.7,4.7,0.7,0.2,0.4,0.5,1.0,9.6,6263188.0,6.263188,2.3949464713497344,19770.16407900832,0.42857140943877636,15.1,2.4109127811587325
tyrese haliburton,PG,22,IND,56,56,33.6,7.4,15.0,0.49,2.9,7.2,0.4,4.5,7.8,0.572,0.586,3.1,3.6,0.871,0.6,3.1,3.7,10.4,1.6,0.4,2.5,1.2,20.7,4215120.0,4.21512,8.255992711951261,3636.2318809211247,0.6160714102359699,34.3,8.137372127009433
jordan hall,SF,21,SAS,9,0,9.2,1.0,3.1,0.321,0.3,1.7,0.2,0.7,1.4,0.462,0.375,0.8,1.0,0.778,0.3,1.0,1.3,1.2,0.1,0.0,0.8,0.7,3.1,193027.0,0.193027,29.011485439860746,6918.530217973826,0.3369564851134256,4.9,25.385049759878154
james harden,PG,33,PHI,58,58,36.8,6.4,14.5,0.441,2.8,7.2,0.385,3.6,7.3,0.495,0.536,5.4,6.2,0.867,0.7,5.4,6.1,10.7,1.2,0.5,3.4,1.9,21.0,33000000.0,33.0,1.1454545454545453,27093.596036868967,0.5706521584061914,36.1,1.093939393939394
jaden hardy,SG,20,DAL,48,5,14.8,3.0,6.9,0.438,1.3,3.3,0.404,1.7,3.7,0.469,0.533,1.4,1.6,0.823,0.2,1.6,1.9,1.4,0.4,0.1,1.0,1.3,8.8,1017781.0,1.017781,11.888608649601437,2409.519407174433,0.5945945544192869,11.600000000000001,11.397343829369973
montrezl harrell,C,29,PHI,57,7,11.9,2.2,3.7,0.598,0.0,0.1,0.0,2.2,3.6,0.616,0.598,1.2,1.8,0.693,1.2,1.6,2.8,0.6,0.3,0.4,0.6,1.3,5.6,2463490.0,2.46349,3.653353575618329,7717.700477074874,0.4705881957488911,9.1,3.6939463931252
gary harris,SG,28,ORL,48,42,24.7,2.9,6.4,0.45,2.0,4.5,0.431,0.9,1.9,0.494,0.603,0.6,0.6,0.9,0.4,1.6,2.0,1.2,0.9,0.3,0.6,1.9,8.3,13000000.0,13.0,0.8846153846153846,32630.52200644949,0.336032375059418,12.100000000000001,0.9307692307692309
joe harris,SF,31,BRK,74,33,20.6,2.7,5.9,0.457,1.9,4.5,0.426,0.8,1.4,0.551,0.618,0.2,0.4,0.643,0.3,1.9,2.2,1.4,0.5,0.2,0.6,1.9,7.6,18642857.0,18.642857,0.6007662881284774,33148.74994105841,0.36893202092563,11.3,0.6061302728439102
kevon harris,SG,25,ORL,34,0,13.4,1.4,3.1,0.439,0.5,1.3,0.372,0.9,1.9,0.484,0.514,0.9,1.2,0.756,0.8,1.2,2.1,0.5,0.5,0.1,0.6,1.6,4.1,508891.0,0.508891,13.165884246331728,3650.581035505158,0.3059701264201398,6.699999999999999,13.165884246331728
tobias harris,SF,30,PHI,74,74,32.9,5.7,11.4,0.501,1.7,4.4,0.389,4.0,7.0,0.57,0.575,1.5,1.7,0.876,0.9,4.8,5.7,2.5,0.9,0.5,1.2,2.0,14.7,37633050.0,37.63305,0.6085076814130133,34595.559813756605,0.44680849705749254,23.099999999999998,0.6138221589799392
shaquille harrison,SG,29,POR,5,0,24.0,3.0,7.2,0.417,0.6,2.0,0.3,2.4,5.2,0.462,0.458,2.2,3.0,0.733,0.2,4.2,4.4,6.0,2.2,0.4,1.2,2.4,8.8,134862.0,0.134862,142.3677537037861,3065.045384885332,0.36666665138888954,20.6,152.74873574468717
josh hart,SF,27,TOT,76,52,32.3,3.6,6.8,0.529,0.8,2.2,0.372,2.8,4.7,0.601,0.588,1.7,2.3,0.75,1.9,5.9,7.8,3.8,1.2,0.3,1.5,2.6,9.8,12960000.0,12.96,1.6512345679012346,17400.644444950798,0.30340556336205693,21.400000000000002,1.6512345679012346
josh hart,SF,27,POR,51,51,33.4,3.6,7.1,0.504,0.7,2.2,0.304,2.9,4.9,0.594,0.551,1.7,2.3,0.731,1.9,6.3,8.2,3.9,1.1,0.2,1.5,2.6,9.5,12960000.0,12.96,1.6666666666666663,26749.22595098199,0.2844311292086489,21.4,1.6512345679012344
josh hart,SF,27,NYK,25,1,30.0,3.7,6.3,0.586,1.1,2.1,0.519,2.6,4.2,0.619,0.672,1.8,2.3,0.789,1.9,5.2,7.0,3.6,1.4,0.5,1.5,2.5,10.2,12960000.0,12.96,1.6049382716049383,50823.52921245676,0.33999998866666703,21.2,1.6358024691358024
isaiah hartenstein,C,24,NYK,82,8,19.8,2.1,4.0,0.535,0.1,0.5,0.216,2.0,3.5,0.576,0.547,0.6,0.9,0.676,2.5,4.0,6.5,1.2,0.6,0.8,0.8,2.6,5.0,8854879.0,8.854879,1.434237554234225,21597.265800982277,0.2525252397714525,13.299999999999999,1.5019968087649755
udonis haslem,C,42,MIA,7,1,10.1,1.4,4.1,0.345,0.4,1.3,0.333,1.0,2.9,0.35,0.397,0.6,0.7,0.8,0.6,1.0,1.6,0.0,0.1,0.3,0.1,1.6,3.9,2905851.0,2.905851,1.892732972199882,106441.42467247527,0.38613857562984405,5.8,1.9959729525016938
sam hauser,SF,25,BOS,80,8,16.1,2.3,5.0,0.455,1.8,4.2,0.418,0.5,0.8,0.656,0.631,0.2,0.2,0.706,0.4,2.1,2.6,0.9,0.4,0.3,0.4,1.2,6.4,1637966.0,1.637966,6.044081501081219,3199.1523375016554,0.3975155032599066,10.200000000000001,6.227235485962469
jaxson hayes,C,22,NOP,47,2,13.0,1.8,3.3,0.551,0.1,0.6,0.103,1.8,2.7,0.654,0.561,1.2,1.8,0.699,0.8,2.0,2.8,0.7,0.4,0.4,0.7,1.4,5.0,6803012.0,6.803012,1.2494465686669376,28948.987110855374,0.3846153550295881,8.600000000000001,1.2641459400630193
killian hayes,PG,21,DET,76,56,28.3,4.0,10.7,0.377,1.1,3.8,0.28,3.0,7.0,0.429,0.426,1.2,1.5,0.821,0.4,2.5,2.9,6.2,1.4,0.4,2.3,2.9,10.3,5837760.0,5.83776,3.3231924573809133,7457.537036972997,0.36395758431245284,18.9,3.2375431672422295
gordon hayward,SF,32,CHO,50,50,31.5,5.5,11.6,0.475,1.0,3.2,0.325,4.5,8.4,0.532,0.52,2.6,3.2,0.811,0.7,3.6,4.3,4.1,0.8,0.2,2.0,1.4,14.7,30075000.0,30.075,0.7680798004987531,40918.367291267525,0.4666666518518523,22.1,0.7348295926849543
tyler herro,SG,23,MIA,67,67,34.9,7.3,16.6,0.439,3.0,8.0,0.378,4.2,8.5,0.497,0.531,2.5,2.7,0.934,0.4,5.0,5.4,4.2,0.8,0.2,2.4,1.5,20.1,5722116.0,5.722116,5.190387611855474,4248.9908634075955,0.5759312155893636,28.3,4.945722875943096
buddy hield,SF,30,IND,80,73,31.0,5.9,13.0,0.458,3.6,8.5,0.425,2.3,4.5,0.518,0.596,1.3,1.6,0.822,0.8,4.2,5.0,2.8,1.2,0.3,1.7,2.0,16.8,21177750.0,21.17775,1.161596486878918,15757.254452561565,0.5419354663891786,24.400000000000002,1.1521526130018536
haywood highsmith,PF,26,MIA,54,11,17.9,1.7,4.0,0.431,0.7,2.0,0.339,1.0,2.0,0.523,0.516,0.2,0.5,0.464,1.1,2.4,3.5,0.8,0.7,0.3,0.8,1.5,4.4,1752638.0,1.752638,4.963945777736191,7376.422527877009,0.24581004213351723,8.9,5.0780594737761025
george hill,PG-SG,36,TOT,46,1,18.1,1.7,3.6,0.47,0.7,2.1,0.358,1.0,1.5,0.62,0.572,0.9,1.2,0.764,0.3,1.5,1.8,2.4,0.6,0.1,0.7,1.2,5.0,4000000.0,4.0,2.3,17391.30427221172,0.2762430786606033,9.2,2.3
george hill,PG,36,MIL,35,0,19.1,1.7,3.8,0.447,0.7,2.1,0.311,1.0,1.7,0.621,0.534,1.0,1.3,0.739,0.4,1.5,1.9,2.5,0.5,0.1,0.8,1.2,5.0,4000000.0,4.0,2.35,22857.142726530612,0.2617800910062779,9.2,2.3
george hill,SG,36,IND,11,1,15.1,1.7,3.1,0.559,1.0,1.9,0.524,0.7,1.2,0.615,0.721,0.7,0.8,0.889,0.2,1.5,1.6,1.9,0.6,0.3,0.6,1.3,5.2,4000000.0,4.0,2.1750000000000003,69930.06870751629,0.34437083812113656,9.000000000000002,2.2500000000000004
malcolm hill,SF,27,CHI,5,0,1.8,0.4,0.8,0.5,0.2,0.6,0.333,0.2,0.2,1.0,0.625,0.0,0.0,,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.2,1.0,508891.0,0.508891,3.144091760318025,101778.17964436406,0.5555552469137517,1.6,3.144091760318025
aaron holiday,PG,26,ATL,63,6,13.4,1.5,3.5,0.418,0.6,1.4,0.409,0.9,2.1,0.424,0.5,0.4,0.5,0.844,0.4,0.8,1.2,1.4,0.6,0.2,0.6,1.3,3.9,1968175.0,1.968175,3.302551856415207,8010.480227877574,0.2910447543996452,6.7,3.404168836612598
jrue holiday,PG,32,MIL,67,65,32.6,7.3,15.3,0.479,2.4,6.1,0.384,5.0,9.1,0.542,0.556,2.3,2.6,0.859,1.2,3.9,5.1,7.4,1.2,0.4,2.9,1.7,19.3,34319520.0,34.31952,0.926586385823578,26540.49955414082,0.5920245217170392,30.5,0.8887070681641236
justin holiday,SF,33,TOT,46,2,15.3,1.7,4.4,0.377,1.0,3.1,0.322,0.7,1.3,0.508,0.49,0.1,0.2,0.625,0.1,1.1,1.2,0.9,0.4,0.4,0.5,1.5,4.5,5987975.0,5.987975,1.1022090105586615,28927.41531919123,0.29411762783544915,6.900000000000001,1.1523094201295099
justin holiday,SF,33,ATL,28,0,14.7,1.7,4.5,0.384,1.1,3.1,0.345,0.6,1.4,0.474,0.504,0.0,0.0,,0.1,0.8,0.8,0.9,0.2,0.4,0.4,1.3,4.5,5987975.0,5.987975,1.035408464464197,47523.6107339396,0.3061224281549369,6.4,1.0688087375114292
justin holiday,SF,33,DAL,18,2,16.4,1.6,4.4,0.367,0.9,3.1,0.286,0.7,1.3,0.565,0.468,0.3,0.4,0.625,0.2,1.6,1.8,0.9,0.8,0.5,0.6,1.7,4.4,5987975.0,5.987975,1.185709693176742,75605.74399487698,0.2682926665675204,7.800000000000001,1.3026106488420546
richaun holmes,C,29,SAC,42,1,8.3,1.3,2.1,0.618,0.1,0.2,0.625,1.2,1.9,0.617,0.646,0.4,0.5,0.789,0.7,1.2,1.9,0.2,0.1,0.3,0.3,1.2,3.1,11215260.0,11.21526,0.4636539857301569,86138.70901583172,0.3734939309043457,5.3,0.4725704085326599
al horford,C,36,BOS,63,63,30.5,3.6,7.6,0.476,2.3,5.2,0.446,1.3,2.4,0.539,0.627,0.2,0.3,0.714,1.2,5.0,6.2,3.0,0.5,1.0,0.6,1.9,9.8,26500000.0,26.5,0.7169811320754716,42921.93060751225,0.3213114648750339,19.9,0.750943396226415
talen horton-tucker,SG,22,UTA,65,20,20.2,4.0,9.4,0.419,0.9,3.1,0.286,3.1,6.3,0.485,0.467,1.9,2.6,0.75,0.6,2.6,3.2,3.8,0.6,0.4,1.9,1.7,10.7,10260000.0,10.26,1.7251461988304093,14751.976973757042,0.5297029440741117,16.8,1.6374269005847955
caleb houstan,SF,20,ORL,51,4,15.9,1.3,3.6,0.363,0.9,2.7,0.338,0.4,0.9,0.435,0.489,0.3,0.4,0.833,0.7,1.3,1.9,0.6,0.2,0.1,0.4,1.2,3.8,2000000.0,2.0,3.1499999999999995,10319.917387410129,0.23899369566077386,6.199999999999998,3.099999999999999
trevor hudgins,PG,23,HOU,5,0,5.6,0.4,1.8,0.222,0.4,1.6,0.25,0.0,0.2,0.0,0.333,0.6,0.6,1.0,0.0,0.0,0.0,0.6,0.0,0.0,0.2,0.2,1.8,508891.0,0.508891,4.716137640477037,56543.43816184021,0.3214285140306225,2.1999999999999997,4.323126170437284
kevin huerter,SG,24,SAC,75,75,29.4,5.6,11.5,0.485,2.7,6.8,0.402,2.9,4.7,0.604,0.603,1.3,1.7,0.725,0.6,2.8,3.3,2.9,1.1,0.3,1.3,2.4,15.2,14508929.0,14.508929,1.4749538025859799,12727.130690590235,0.5170067851358237,21.5,1.4818461100746996
jay huff,C,24,WAS,7,0,13.6,2.1,3.6,0.6,0.9,1.7,0.5,1.3,1.9,0.692,0.72,2.1,2.3,0.938,0.9,2.1,3.0,1.4,0.4,0.6,0.7,2.1,7.3,116986.0,0.116986,100.01196724394373,2289.354162634948,0.5367646664143628,12.000000000000002,102.57637666045511
de'andre hunter,SF,25,ATL,67,67,31.7,5.7,12.3,0.461,1.5,4.3,0.35,4.2,8.0,0.521,0.522,2.6,3.1,0.826,0.7,3.6,4.2,1.4,0.5,0.3,1.2,3.0,15.4,9835881.0,9.835881,2.1350400640268012,9532.739862829289,0.4858044010787255,20.6,2.094372634235815
bones hyland,PG,22,TOT,56,1,19.4,4.1,10.2,0.399,2.1,5.6,0.371,2.0,4.6,0.434,0.502,1.5,1.8,0.843,0.4,2.1,2.4,3.1,0.7,0.3,1.5,1.7,11.8,2201520.0,2.20152,7.858207056942477,3331.59805791223,0.6082473913274541,16.8,7.631091246048186
bones hyland,PG,22,DEN,42,1,19.5,4.1,10.3,0.399,2.2,5.7,0.378,2.0,4.6,0.425,0.503,1.7,2.0,0.866,0.2,1.8,2.0,3.0,0.7,0.3,1.6,1.6,12.1,2201520.0,2.20152,7.767360732584761,4331.99526892563,0.6205127886916518,16.5,7.49482175951161
bones hyland,PG,22,LAC,14,0,18.9,3.9,9.8,0.401,1.9,5.3,0.351,2.1,4.5,0.46,0.496,1.1,1.4,0.75,0.7,2.8,3.5,3.4,0.8,0.1,1.1,2.1,10.8,2201520.0,2.20152,8.03989970565791,14560.317364019063,0.5714285411942571,17.5,7.9490533813001925
serge ibaka,C,33,MIL,16,0,11.6,1.6,3.4,0.481,0.4,1.1,0.333,1.3,2.3,0.556,0.537,0.5,0.8,0.615,0.9,1.8,2.8,0.3,0.1,0.4,0.7,1.4,4.1,2905851.0,2.905851,2.4777595272434816,44296.508471089815,0.35344824539239267,6.999999999999999,2.4089328737089404
andre iguodala,PF,39,GSW,8,0,14.1,0.9,1.9,0.467,0.1,1.1,0.111,0.8,0.8,1.0,0.5,0.3,0.4,0.667,0.4,1.8,2.1,2.4,0.5,0.4,1.1,1.4,2.1,2905851.0,2.905851,2.2712795666398584,172967.31113289812,0.14893615964991777,6.4,2.2024529131053177
joe ingles,SF,35,MIL,46,0,22.7,2.3,5.4,0.435,1.8,4.4,0.409,0.5,1.0,0.556,0.603,0.4,0.5,0.857,0.3,2.5,2.8,3.3,0.7,0.1,1.2,1.6,6.9,6479000.0,6.479,2.0064824818644853,20412.72835408718,0.3039647443187337,12.6,1.9447445593455779
brandon ingram,SF,25,NOP,45,45,34.2,9.0,18.6,0.484,1.4,3.6,0.39,7.6,14.9,0.507,0.522,5.3,6.0,0.882,0.5,5.0,5.5,5.8,0.7,0.4,3.3,2.6,24.7,31650600.0,31.6506,1.1374191958446285,28475.573523638708,0.722222201104614,33.800000000000004,1.067910244987457
kyrie irving,PG-SG,30,TOT,60,60,37.4,9.9,20.1,0.494,3.1,8.3,0.379,6.8,11.8,0.574,0.572,4.1,4.6,0.905,1.0,4.1,5.1,5.5,1.1,0.8,2.1,2.8,27.1,38917057.0,38.917057,0.9687269003922883,23934.229382574274,0.724598911106981,37.5,0.9635877656421964
kyrie irving,PG,30,BRK,40,40,37.0,10.0,20.5,0.486,3.3,8.7,0.374,6.7,11.8,0.569,0.565,4.0,4.5,0.883,1.0,4.2,5.1,5.3,1.0,0.8,2.3,2.7,27.1,38917057.0,38.917057,0.9635877656421964,35901.344062821634,0.7324324126369619,37.0,0.9507399287669671
kyrie irving,SG,30,DAL,20,20,38.2,9.8,19.2,0.51,2.9,7.4,0.392,6.9,11.8,0.585,0.586,4.5,4.7,0.947,1.1,4.0,5.0,6.0,1.3,0.6,1.9,2.8,27.0,38917057.0,38.917057,0.9764356025174257,72068.62394061366,0.7068062642197313,38.0,0.9764356025174257
jonathan isaac,PF,25,ORL,11,0,11.3,2.0,4.8,0.415,0.5,1.4,0.4,1.5,3.5,0.421,0.472,0.5,0.8,0.556,1.4,2.6,4.0,0.5,1.3,0.4,0.4,0.5,5.0,17400000.0,17.4,0.5459770114942529,316363.6306115704,0.442477836948864,10.8,0.6206896551724139
jaden ivey,SG,20,DET,74,73,31.1,5.5,13.3,0.416,1.6,4.7,0.343,3.9,8.6,0.457,0.477,3.6,4.8,0.747,1.0,2.9,3.9,5.2,0.8,0.2,3.2,3.3,16.3,7252200.0,7.2522,3.50238548302584,6012.4357436474575,0.5241157387744135,23.2,3.1990292600865944
frank jackson,PG,24,UTA,1,0,5.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,113114.0,0.113114,26.521915943207738,113114000000.0,0.0,3.0,26.521915943207738
isaiah jackson,C,21,IND,63,12,16.5,2.8,5.0,0.563,0.0,0.2,0.143,2.8,4.8,0.582,0.566,1.5,2.3,0.651,1.8,2.7,4.5,0.8,0.5,1.5,0.8,2.4,7.2,2573760.0,2.57376,4.856707696133284,5674.074061565092,0.43636360991735695,13.7,5.322951634962078
justin jackson,SF,27,BOS,23,0,4.7,0.3,1.2,0.259,0.2,0.9,0.25,0.1,0.3,0.286,0.352,0.0,0.1,0.5,0.1,0.7,0.7,0.4,0.2,0.2,0.1,0.3,0.9,1836090.0,1.83609,1.089271223088193,88699.99571497604,0.19148932095971893,2.3000000000000003,1.252661906551422
quenton jackson,PG,24,WAS,9,0,15.0,2.1,4.7,0.452,0.1,1.3,0.083,2.0,3.3,0.6,0.464,1.9,2.4,0.773,0.2,0.7,0.9,1.7,0.4,0.1,0.4,1.1,6.2,219630.0,0.21963,40.0673860583709,3936.0214348383256,0.41333330577777966,8.9,40.52269726357966
reggie jackson,PG,32,TOT,68,40,24.4,3.9,9.4,0.411,1.4,4.2,0.333,2.5,5.2,0.474,0.486,1.0,1.1,0.91,0.4,1.8,2.1,3.4,0.7,0.1,1.7,1.7,10.2,11457217.0,11.457217,1.3703153217749127,16518.478926588123,0.41803276975275533,14.8,1.2917622141572427
reggie jackson,PG,32,LAC,52,38,25.7,4.1,9.8,0.418,1.5,4.2,0.35,2.6,5.6,0.469,0.493,1.2,1.3,0.924,0.4,1.8,2.2,3.5,0.7,0.1,1.8,1.8,10.9,11457217.0,11.457217,1.448868429392583,20213.861996799817,0.4241244971157783,15.600000000000001,1.3615871987062829
reggie jackson,PG,32,DEN,16,2,19.9,3.1,8.0,0.383,1.2,4.3,0.279,1.9,3.8,0.5,0.457,0.6,0.8,0.833,0.2,1.6,1.8,3.1,0.6,0.1,1.2,1.4,7.9,11457217.0,11.457217,1.1171997527846422,90642.53883985333,0.3969849046741254,12.3,1.0735591374414921
lebron james,PF,38,LAL,55,54,35.5,11.1,22.2,0.5,2.2,6.9,0.321,8.9,15.3,0.58,0.549,4.6,5.9,0.768,1.2,7.1,8.3,6.8,0.9,0.6,3.2,1.6,28.9,44474988.0,44.474988,0.9893201095411199,27980.489444491668,0.8140844841102962,42.3,0.9510963780361221
ty jerome,SG,25,GSW,45,2,18.1,2.6,5.4,0.488,0.8,2.0,0.389,1.8,3.4,0.546,0.56,0.8,0.9,0.927,0.2,1.6,1.7,3.0,0.5,0.1,0.7,1.4,6.9,4728948.0,4.728948,2.452976856586285,15230.106231142976,0.38121544855163264,11.5,2.4318305043743345
isaiah joe,SG,23,OKC,73,10,19.1,3.1,7.0,0.441,2.2,5.4,0.409,0.9,1.6,0.553,0.599,1.1,1.4,0.82,0.4,2.0,2.4,1.2,0.7,0.1,0.5,1.4,9.5,1836090.0,1.83609,7.1347265112276625,2647.5702917843255,0.49738217291192804,13.399999999999999,7.298117194690891
alize johnson,PF,26,SAS,4,0,7.5,0.8,1.5,0.5,0.0,0.5,0.0,0.8,1.0,0.75,0.5,0.3,0.5,0.5,0.5,2.0,2.5,0.3,0.3,0.0,1.0,0.8,1.8,192293.0,0.192293,23.92182762763075,26707.357401755915,0.23999996800000425,3.8999999999999995,20.28154951038259
cameron johnson,PF,26,TOT,42,41,28.5,5.3,11.3,0.47,2.5,6.1,0.404,2.9,5.2,0.548,0.579,2.4,2.9,0.842,0.8,3.6,4.4,1.9,1.2,0.3,0.9,2.0,15.5,5887899.0,5.887899,3.702509163285579,9044.39169117605,0.5438596300400129,22.4,3.80441308521087
cameron johnson,PF,26,PHO,17,16,25.2,4.8,10.2,0.474,2.6,5.8,0.455,2.2,4.4,0.5,0.604,1.6,1.9,0.818,0.8,3.0,3.8,1.5,0.9,0.4,0.6,1.7,13.9,5887899.0,5.887899,3.2609255016093175,24917.05025426555,0.5515872796989175,19.899999999999995,3.3798134105221567
cameron johnson,PF,26,BRK,25,25,30.8,5.6,12.0,0.468,2.3,6.2,0.372,3.3,5.8,0.572,0.565,3.0,3.5,0.851,0.8,4.0,4.8,2.1,1.4,0.3,1.1,2.2,16.6,5887899.0,5.887899,3.991236942073905,14187.70839954769,0.5389610214623045,24.1,4.093140863999196
jalen johnson,SF,21,ATL,70,6,14.9,2.3,4.6,0.491,0.4,1.5,0.288,1.8,3.1,0.587,0.537,0.7,1.1,0.628,0.7,3.3,4.0,1.2,0.5,0.5,0.6,1.6,5.6,2792640.0,2.79264,3.867308353386043,7124.0816144793835,0.37583890095040934,11.2,4.0105419961040445
james johnson,PF,35,IND,18,1,9.0,1.2,2.7,0.449,0.2,0.8,0.2,1.1,1.9,0.559,0.48,0.2,0.4,0.5,0.2,1.4,1.7,0.8,0.4,0.3,0.4,1.8,2.8,3841067.0,3.841067,1.3798249288544042,76211.64531326102,0.31111107654321374,5.6,1.4579282267140876
keldon johnson,SF,23,SAS,63,63,32.7,8.0,17.7,0.452,2.1,6.5,0.329,5.9,11.2,0.523,0.512,3.9,5.2,0.749,0.9,4.2,5.0,2.9,0.7,0.2,2.1,2.0,22.0,3873024.0,3.873024,7.720065767730848,2794.389608373456,0.6727828540433378,28.699999999999996,7.410230352303522
keon johnson,SG,20,POR,40,0,10.4,1.7,4.5,0.376,0.7,2.0,0.346,1.0,2.4,0.402,0.455,0.7,1.0,0.659,0.3,0.8,1.1,1.5,0.5,0.2,1.1,1.1,4.7,2681040.0,2.68104,2.7228239787545134,14260.850987974198,0.45192303346893914,6.9,2.5736281443022113
stanley johnson,SF,26,SAS,30,0,15.6,2.2,4.1,0.533,0.6,1.3,0.45,1.6,2.7,0.573,0.607,0.9,1.3,0.667,0.7,2.4,3.2,2.2,0.5,0.2,1.1,1.6,5.8,4022164.0,4.022164,2.784570693785733,23115.88492462135,0.37179484796186874,10.799999999999999,2.6851217404362426
carlik jones,PG,25,CHI,7,0,8.0,0.9,2.1,0.4,0.4,0.9,0.5,0.4,1.3,0.333,0.5,0.7,1.1,0.625,0.1,0.6,0.7,0.9,0.3,0.0,0.3,0.3,2.9,612162.0,0.612162,7.3509953247669735,30155.762061292506,0.3624999546875057,4.5,7.3509953247669735
damian jones,C,27,TOT,41,1,11.6,1.3,2.1,0.64,0.2,0.4,0.588,1.1,1.7,0.652,0.698,0.5,0.7,0.759,1.0,2.0,3.0,0.4,0.2,0.5,0.6,1.3,3.5,2298385.0,2.298385,3.0021080019230895,16016.620097445157,0.3017241119203352,7.000000000000001,3.0456168135451636
damian jones,C,27,LAL,22,1,8.0,0.9,1.7,0.541,0.0,0.1,0.0,0.9,1.5,0.588,0.541,0.7,0.9,0.75,0.8,1.7,2.5,0.2,0.1,0.5,0.4,0.8,2.5,2298385.0,2.298385,2.2624582043478356,41788.8174220215,0.31249996093750493,5.3999999999999995,2.349475827591983
damian jones,C,27,UTA,19,0,15.8,1.8,2.6,0.714,0.5,0.7,0.714,1.3,1.8,0.714,0.816,0.4,0.5,0.778,1.3,2.3,3.5,0.6,0.3,0.5,0.7,2.0,4.6,2298385.0,2.298385,3.7852666111204165,26297.310911930086,0.29113922207979603,8.8,3.828775422742491
kai jones,C,22,CHO,46,0,12.0,1.5,2.6,0.558,0.1,0.4,0.211,1.4,2.2,0.624,0.575,0.4,0.6,0.731,0.8,1.9,2.7,0.3,0.4,0.7,0.7,1.4,3.4,2909040.0,2.90904,2.2000385006737617,18599.99988107417,0.2833333097222242,6.8,2.337540906965872
tre jones,PG,23,SAS,68,65,29.2,5.0,10.9,0.459,0.7,2.3,0.285,4.4,8.6,0.506,0.489,2.2,2.5,0.86,0.8,2.8,3.6,6.6,1.3,0.1,1.6,1.4,12.9,1782621.0,1.782621,12.958447140474616,2032.1716803098816,0.44178080678832854,22.900000000000002,12.84625279293804
tyus jones,PG,26,MEM,80,22,24.3,3.9,8.9,0.438,1.5,4.1,0.371,2.4,4.8,0.495,0.523,1.0,1.3,0.8,0.4,2.2,2.5,5.2,1.0,0.1,0.9,0.4,10.3,15000000.0,15.0,1.2,18203.88347305354,0.4238682953140619,18.200000000000003,1.2133333333333336
deandre jordan,C,34,DEN,39,8,15.0,2.3,2.9,0.765,0.0,0.0,1.0,2.2,2.9,0.763,0.77,0.6,1.2,0.458,1.3,3.8,5.2,0.9,0.3,0.6,1.2,1.8,5.1,10733758.0,10.733758,1.043436977058734,53965.60053310408,0.3399999773333348,10.900000000000002,1.0154877723160893
cory joseph,PG,31,DET,62,2,19.8,2.4,5.7,0.427,1.1,2.9,0.389,1.3,2.8,0.468,0.527,0.9,1.2,0.792,0.3,1.4,1.7,3.5,0.5,0.1,0.9,1.4,6.9,5155500.0,5.1555,2.3470080496557073,12051.192117692397,0.34848483088460447,11.799999999999999,2.2888177674328385
johnny juzang,SG,21,UTA,18,0,12.9,1.9,5.8,0.337,0.8,3.5,0.238,1.1,2.3,0.488,0.409,0.1,0.2,0.5,0.4,1.7,2.2,0.4,0.2,0.2,0.2,0.7,4.8,508891.0,0.508891,14.541424391470866,5889.942061459004,0.37209299441139576,7.6000000000000005,14.93443586151062
mfiondu kabengele,PF,25,BOS,4,0,9.0,0.5,1.8,0.286,0.0,0.8,0.0,0.5,1.0,0.5,0.286,0.5,0.5,1.0,1.3,1.3,2.5,0.0,0.5,0.0,0.3,0.8,1.5,508891.0,0.508891,7.860229400795062,84815.15253080791,0.16666664814815021,4.2,8.253240870834816
frank kaminsky,C,29,TOT,36,0,6.5,0.9,1.8,0.492,0.4,0.9,0.394,0.5,0.8,0.6,0.595,0.4,0.4,0.875,0.2,1.3,1.4,0.9,0.2,0.1,0.3,0.6,2.5,2463490.0,2.46349,1.948455240329776,27372.110806976547,0.38461532544379606,4.8,1.948455240329776
frank kaminsky,C,29,ATL,26,0,6.8,1.0,1.7,0.568,0.4,0.9,0.478,0.5,0.8,0.667,0.693,0.4,0.5,0.833,0.1,1.3,1.4,0.8,0.2,0.0,0.3,0.8,2.7,2463490.0,2.46349,1.989048057836646,35092.449642557694,0.3970587651384169,4.8,1.948455240329776
