player,pos,age,tm,g,gs,mp,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,efg%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,salary,salary_million,value_index,salary_per_point,pts_per_minute,efficiency_index,efficiency_per_million
kevin durant,PF,34,PHO,8,8,33.6,9.1,16.0,0.57,2.8,5.1,0.537,6.4,10.9,0.586,0.656,5.0,6.0,0.833,0.4,6.0,6.4,3.5,0.3,1.3,2.5,0.9,26.0,44119845.0,44.119845,0.8136927951582785,212114.63840329502,0.7738095007794792,34.99999999999999,0.7932938114356475
jalen duren,C,19,DET,67,31,24.9,3.9,5.9,0.648,0.0,0.0,0.0,3.9,5.9,0.652,0.648,1.4,2.3,0.611,3.4,5.5,8.9,1.1,0.7,0.9,1.4,2.7,9.1,4124280.0,4.12428,4.631111369742113,6764.441517525929,0.3654618327123762,19.3,4.679604682514282
tari eason,PF,21,HOU,82,5,21.5,3.6,8.0,0.448,0.7,2.1,0.343,2.9,6.0,0.486,0.493,1.3,1.8,0.752,2.4,3.7,6.0,1.1,1.2,0.6,1.2,2.3,9.3,3359160.0,3.35916,4.882172924183427,4404.878043004356,0.43255811941590144,17.000000000000004,5.060789006775504
anthony edwards,SG,21,MIN,79,79,36.0,8.9,19.5,0.459,2.7,7.3,0.369,6.3,12.2,0.513,0.528,4.0,5.3,0.756,0.6,5.2,5.8,4.4,1.6,0.7,3.3,2.4,24.6,10733400.0,10.7334,3.242215886857846,5523.0009233698665,0.6833333143518525,33.80000000000001,3.1490487636722766
kessler edwards,SF,22,TOT,36,4,10.7,1.0,2.6,0.387,0.5,1.5,0.309,0.5,1.1,0.5,0.478,0.3,0.4,0.733,0.6,1.1,1.7,0.6,0.4,0.2,0.4,1.1,2.8,1637966.0,1.637966,3.113617742981234,16249.66253720573,0.2616822185343721,5.3,3.2357203995687334
kessler edwards,SF,22,BRK,14,1,5.6,0.4,1.7,0.25,0.1,0.9,0.167,0.3,0.9,0.333,0.292,0.1,0.1,0.5,0.4,0.6,1.0,0.1,0.2,0.1,0.3,0.2,1.1,1637966.0,1.637966,1.343129222462493,106361.42166484274,0.1964285363520471,2.2000000000000006,1.3431292224624936
kessler edwards,SF,22,SAC,22,3,13.9,1.4,3.1,0.435,0.7,2.0,0.349,0.7,1.2,0.577,0.543,0.5,0.6,0.769,0.8,1.4,2.1,1.0,0.5,0.2,0.4,1.7,3.9,1637966.0,1.637966,4.273592980562478,19090.512598012676,0.28057551938305614,7.3,4.456746965443727
keon ellis,SG,23,SAC,16,0,4.4,0.4,1.0,0.438,0.4,0.8,0.5,0.1,0.3,0.25,0.625,0.3,0.4,0.571,0.3,0.3,0.5,0.4,0.3,0.1,0.1,0.6,1.5,508891.0,0.508891,4.716137640477037,21203.790783175384,0.34090901342976965,2.6999999999999997,5.305654845536667
joel embiid,C,28,PHI,66,66,34.6,11.0,20.1,0.548,1.0,3.0,0.33,10.0,17.1,0.587,0.573,10.0,11.7,0.857,1.7,8.4,10.2,4.2,1.0,1.7,3.4,3.1,33.1,33616770.0,33.61677,1.412985245161864,15388.066458212916,0.9566473711951627,46.800000000000004,1.3921623047068472
drew eubanks,C,25,POR,78,28,20.3,2.7,4.3,0.641,0.1,0.2,0.389,2.7,4.1,0.655,0.651,1.1,1.6,0.664,1.7,3.7,5.4,1.3,0.5,1.3,0.9,2.2,6.6,1968175.0,1.968175,6.7575291831265005,3823.183753257219,0.3251231366934415,14.200000000000001,7.21480559401476
bruno fernando,C,24,TOT,39,4,10.4,1.5,2.9,0.527,0.0,0.1,0.0,1.5,2.8,0.546,0.527,0.9,1.3,0.7,1.4,2.1,3.5,0.8,0.2,0.9,0.6,1.9,3.9,2717391.0,2.717391,3.017600337971238,17865.818422972923,0.37499996394231117,8.700000000000001,3.2016003585792405
bruno fernando,C,24,HOU,31,4,11.7,1.5,3.0,0.516,0.0,0.0,0.0,1.5,3.0,0.522,0.516,1.0,1.4,0.682,1.5,2.4,3.9,1.0,0.2,1.0,0.6,2.2,4.1,2717391.0,2.717391,3.3120003709440415,21379.944757042136,0.35042732047629743,9.6,3.532800395673644
bruno fernando,C,24,ATL,8,0,5.1,1.4,2.4,0.579,0.0,0.4,0.0,1.4,2.0,0.688,0.579,0.6,0.8,0.833,0.8,1.1,1.9,0.1,0.0,0.4,0.6,0.8,3.4,2717391.0,2.717391,1.9872002225664247,99904.07720940892,0.6666665359477381,5.2,1.913600214323224
dorian finney-smith,PF,29,TOT,66,66,30.4,3.0,7.6,0.391,1.7,5.1,0.337,1.2,2.5,0.503,0.505,0.7,0.9,0.763,1.7,3.1,4.8,1.5,0.8,0.5,0.9,2.2,8.3,12939848.0,12.939848,1.1282976430635046,23621.48224968696,0.2730263068083452,15.000000000000002,1.1592099072570252
dorian finney-smith,PF,29,DAL,40,40,32.2,3.2,7.8,0.416,1.9,5.4,0.355,1.3,2.3,0.559,0.54,0.8,1.0,0.75,1.7,3.0,4.7,1.5,1.0,0.5,0.9,2.0,9.1,12939848.0,12.939848,1.1823941054021656,35549.03286937079,0.2826086868755066,15.9,1.2287625016924466
dorian finney-smith,PF,29,BRK,26,26,27.7,2.6,7.3,0.351,1.4,4.7,0.306,1.2,2.7,0.429,0.448,0.6,0.7,0.789,1.8,3.1,4.9,1.6,0.7,0.6,1.0,2.5,7.2,12939848.0,12.939848,1.058745048628083,69123.11928887221,0.2599277884502603,14.0,1.0819292467732233
malachi flynn,PG,24,TOR,53,2,13.0,1.6,4.6,0.36,0.9,2.5,0.353,0.8,2.1,0.367,0.457,0.5,0.6,0.758,0.3,1.2,1.4,1.3,0.4,0.1,0.5,1.2,4.6,2145720.0,2.14572,3.4021214324329363,8801.148446262723,0.35384612662722104,7.3,3.4021214324329363
simone fontecchio,SF,27,UTA,52,6,14.7,2.2,6.0,0.369,1.2,3.7,0.33,1.0,2.3,0.43,0.47,0.7,0.8,0.795,0.6,1.1,1.7,0.8,0.3,0.2,0.8,1.2,6.3,3205128.0,3.205128,2.7456001757184114,9783.662973798344,0.42857139941691164,8.5,2.652000169728011
bryn forbes,SG,29,MIN,25,0,10.7,1.2,3.3,0.361,0.6,1.8,0.304,0.6,1.5,0.432,0.446,0.6,0.6,1.0,0.2,0.4,0.6,0.7,0.3,0.1,0.5,0.9,3.6,2298385.0,2.298385,2.1319317694816142,25537.61082735988,0.3364485666870499,4.8,2.08842295785954
trent forrest,SG,24,ATL,23,3,12.0,1.1,2.6,0.417,0.0,0.1,0.0,1.1,2.5,0.431,0.417,0.1,0.1,0.667,0.2,1.4,1.6,1.7,0.3,0.1,0.7,0.7,2.3,508891.0,0.508891,11.004321161113086,9619.867493008176,0.19166665069444577,5.299999999999999,10.414803956053456
evan fournier,SG,30,NYK,27,7,17.0,2.1,6.1,0.337,1.3,4.2,0.307,0.8,1.9,0.404,0.443,0.7,0.8,0.857,0.1,1.7,1.8,1.3,0.6,0.1,0.8,1.7,6.1,18000000.0,18.0,0.5111111111111111,109289.616822771,0.3588235083044995,9.099999999999998,0.5055555555555554
de'aaron fox,PG,25,SAC,73,73,33.4,9.3,18.2,0.512,1.6,5.0,0.324,7.7,13.2,0.584,0.557,4.7,6.0,0.78,0.5,3.6,4.2,6.1,1.1,0.3,2.5,2.4,25.0,30351780.0,30.35178,1.1630289887446468,16631.112319654185,0.7485029716017075,34.199999999999996,1.1267872922115274
markelle fultz,PG,24,ORL,60,60,29.6,5.8,11.3,0.514,0.5,1.5,0.31,5.4,9.9,0.544,0.534,1.9,2.4,0.783,1.2,2.8,3.9,5.7,1.5,0.4,2.3,2.2,14.0,16500000.0,16.5,1.4303030303030302,19642.85711947279,0.4729729569941568,23.199999999999996,1.4060606060606058
wenyen gabriel,C,25,LAL,68,2,15.1,2.3,3.8,0.596,0.1,0.5,0.278,2.1,3.3,0.647,0.615,0.8,1.2,0.619,1.7,2.5,4.2,0.5,0.4,0.5,0.7,2.1,5.5,1878720.0,1.87872,5.429228410832907,5023.315494590066,0.3642383864742791,10.4,5.535683869868847
daniel gafford,C,24,WAS,78,47,20.6,3.7,5.1,0.732,0.0,0.0,,3.7,5.1,0.732,0.732,1.6,2.4,0.679,2.1,3.5,5.6,1.1,0.4,1.3,1.1,2.4,9.0,1930681.0,1.930681,8.131845706255978,2750.2578308400884,0.43689318267508814,16.299999999999997,8.442616879743467
darius garland,PG,23,CLE,69,69,35.5,7.6,16.4,0.462,2.4,6.0,0.41,5.1,10.4,0.492,0.537,4.0,4.7,0.863,0.4,2.3,2.7,7.8,1.2,0.1,2.9,2.1,21.6,8920794.0,8.920794,3.59833440834975,5985.503216595877,0.6084506870858962,30.500000000000007,3.4189781761578626
usman garuba,C,20,HOU,75,1,12.9,1.1,2.4,0.486,0.3,0.8,0.407,0.8,1.6,0.525,0.554,0.4,0.6,0.617,1.6,2.5,4.1,0.9,0.6,0.4,0.6,1.8,3.0,2471160.0,2.47116,3.2373460237297467,10982.933284520297,0.23255812150712238,8.4,3.399213324916234
